,Food Name,Glycemic Load,Completeness Score,Amino Acid Score
72,rice no added fat with,,,
73,muffins oat bran,4.0,44.0,78.0
74,chicken or turkey and noodles,,,
75,nopales raw,1.0,85.0,70.0
76,beets fat added cooked canned,,,
77,ham lean and fat eaten,,,
78,caffeine free lemon lime sparkling,,,
79,everyday value black beans,,,
80,sweetini rimming candy,,,
81,natural cracker cuts cheese,,,
82,healthy choice vegetable beef soup,,,
83,popcorn unbuttered movie theater,,,
84,beef snack bites with cheddar,,,
85,fiber one cookie dough supreme,,,
86,creamy mozzarella sauce,,,
87,quaker chewy dipps chocolate chip,,,
88,cooked vegetables finishing sauce,,,
89,japanese style soba noodles,,,
90,cauliflower with salt drained boiled,1.0,74.0,102.0
91,creamy tomato garlic authentic pasta,,,
92,candies with almonds milk chocolate,10.0,17.0,
93,swanson broth vegetable,0.0,8.0,0.0
94,aro matcha aronia berry juice,,,
95,bertolli shrimp asparagus and penne,,,
96,japanese organic style dressing marinade,,,
97,puddings dry mix regular low,17.0,4.0,
98,asian gourmet rice vinegar seasoned,,,
99,fd shd tst gd tortilla,,,
100,reeses puffs bunnies cereal,,,
101,soy protein concentrate produced,3.0,53.0,107.0
102,bushs white chili beans,,,
103,cod made with oil fried,,,
104,squirrel meat alaska native ground,0.0,23.0,
105,chicken or turkey cake croquette,,,
106,pinwheel snacker snacks,,,
107,pillsbury original crescent rolls count,,,
108,everyday value cream cheese spread,,,
109,refried beans reduced sodium traditional,,,
110,cider sparkling northwest blend,,,
111,rice cake,2.0,26.0,
112,artificially flavored graham cracker ice,,,
113,fudgesicle light,,,
114,artificially flavored vanilla ice cream,,,
115,roast beef submarine sandwich tomato,,,
116,true plus glucose tablets,,,
117,rum cooler,,,
118,pork raw separable lean only,0.0,38.0,135.0
119,a taste of thai red,,,
120,beef grilled cooked select trimmed,0.0,44.0,94.0
121,subway tomato and sweet onion,,,
122,restaurant fried battered or breaded,,,
123,big win real brewed tea,,,
124,hardwood smoked bacon ends and,,,
125,alkaline spring water,,,
126,artificially flavored vanilla light ice,,,
127,barley water drink orange,,,
128,cabbage cooked savoy,3.0,79.0,73.0
129,cento tomatoes chefs diced,,,
130,bellino extra virgin olive oil,,,
131,soy nuts,22.0,52.0,118.0
132,chicken fillet sandwich with cheese,21.0,32.0,135.0
133,potato skins not further speficied,,,
134,authentic japanese wasabi,,,
135,cheese sandwich no spread on,,,
136,pork panfried cooked separable lean,,,
137,meat with barbecue sauce not,,,
138,campbells soup cream of chicken,5.0,19.0,
139,food lion water enhancer orange,,,
140,breadsticks whole wheat hard,,,
141,diced mango in juice,,,
142,fajita skillet sauce,,,
143,lays stax hotn spicy barbecue,,,
144,flour unbleached enriched white bread,,,
145,round puff pastry tartlets,,,
146,sugared pecans sugar and egg,,,
147,pillsbury ready to bake gingerbread,,,
148,cheese lactose reduced milkfat lowfat,6.0,37.0,
149,scallops no added fat baked,,,
150,cheatin wheat pancake mix,,,
151,enhancer,0.0,11.0,151.0
152,basting oil mediterranean blend garlic,,,
153,chicken wings with hot sauce,,,
154,apple sparkling water,,,
155,rice cereal with apples instant,,,
156,dole juice strawberry kiwi fluid,,,
157,beef grilled cooked choice trimmed,0.0,41.0,94.0
158,crackers reduced fat woven wheat,,,
159,macaroni or pasta salad with,,,
160,beef braised cooked select trimmed,0.0,39.0,94.0
161,amaranth grain cooked,21.0,46.0,
162,cookies creme whey protein powder,,,
163,lucky charms treat bar,,,
164,sea lion meat alaska native,0.0,33.0,
165,corned beef with tomato sauce,,,
166,campbells well yes soup squash,,,
167,salad dressing milk cream imitation,13.0,23.0,137.0
168,milk without added vitamin a,14.0,38.0,137.0
169,pork roasted cooked with added,,,
170,beef raw choice separable lean,0.0,40.0,94.0
171,broccoli slaw salad,,,
172,progresso organic garden vegetable soup,,,
173,marie callenders double chocolate cake,,,
174,olivos premium extra virgin olive,,,
175,peas unprepared frozen green,7.0,77.0,84.0
176,coconut red curry,,,
177,chicken raw meat and skin,0.0,21.0,129.0
178,chiveonion sour cream,,,
179,burger king no cheese whopper,26.0,35.0,102.0
180,instant coffee beverage,,,
181,betty crocker gingerbread cake and,,,
182,chilled espresso beverage caffe mocha,,,
183,beverages light cranberry ocean spray,,,
184,salad dressing light blue or,,,
185,marie callenders homestyle stroganoff family,,,
186,milk shake chocolate home recipe,,,
187,mixed nuts salted with peanuts,1.0,31.0,81.0
188,black cherry pure cane sugar,,,
189,gordita or chalupa with meat,,,
190,bama preserves peach,,,
191,turkey provolone on honey oat,,,
192,pringles crisps french onion dip,,,
193,jute raw potherb,1.0,76.0,90.0
194,lamb raw separable lean and,0.0,33.0,141.0
195,betty crocker au gratin potatoes,,,
196,fish dry heat cooked wild,0.0,41.0,148.0
197,american individually wrapped deli slices,,,
198,slim jim twin pack snacksized,,,
199,cordial or liqueur coffee flavored,,,
200,silk bananastrawberry soy yogurt,,,
201,artichoke pesto,,,
202,chicken sausage on a sweet,,,
203,barbq spice rub,,,
204,salmon steamed or poached,,,
205,spaghetti aangel hair pasta whole,,,
206,calcots sauce,,,
207,campbells condensed soup mushroom,3.0,7.0,
208,jams and preserves,9.0,10.0,76.0
209,birthday party cake flavored frozen,,,
210,cheese creations,,,
211,chili vinegar,,,
212,marvel coconut water,,,
213,yoplait gogurt strawberryvanilla yogurt count,,,
214,kellogg special k cereal bars,,,
215,belvita protein biscuits oats honey,,,
216,cowpeas raw mature seeds common,52.0,58.0,101.0
217,sauce readytoserve hoisin,,,
218,keebler fudge shoppe cookies cake,,,
219,artichoke parmesan dip,,,
220,pina colada mix with spirits,,,
221,prego sauces tomato,5.0,34.0,
222,pie individual size or tart,,,
223,lays flamin hot potato chips,,,
224,beans raw mature seeds pinto,55.0,59.0,83.0
225,hill country fare plain bread,,,
226,authentic mexican style thick smooth,,,
227,potatoes as purchased frozen salt,8.0,35.0,
228,mini boat sweet butter x,,,
229,cookie extra filling vanilla sandwich,,,
230,liberte organic brazilian sea salt,,,
231,confectionary powdered sugar,,,
232,charcuterie sticks,,,
233,armour vienna sausage bourbon bbq,,,
234,pork chop lean and fat,0.0,38.0,151.0
235,flavored latte foam,,,
236,peanut butter and chocolate spread,,,
237,all natural energy shot,,,
238,blackberry raspberry flavored sparkling water,,,
239,chicago authentic deep dish pizza,,,
240,oz lays limon,,,
241,black cherry flavored sparkling natural,,,
242,fruit bar toddler ba,,,
243,acini di pepe premium real,,,
244,bread toasted includes sourdough french,11.0,37.0,49.0
245,hydration performance drink,,,
246,beverage not reconstituted sugarfree chocolate,,,
247,onions without salt drained boiled,8.0,52.0,64.0
248,pepperidge farm cakes golden,,,
249,brown rice long grain,22.0,33.0,75.0
250,veal panfried cooked ground,,,
251,rice no added fat with,,,
252,cabbage salad or coleslaw made,,,
253,frankfurter or hot dog sandwich,,,
254,everyday value thick chunky salsa,,,
255,pure premium aloe drink,,,
256,totinos pizza sticks combo,,,
257,boilinbag precooked white rice,,,
258,tuna salad with cheese,,,
259,chicken parmesan cheese pizza a,,,
260,broccoli without salt drained boiled,8.0,92.0,112.0
261,cheese pesto pizza,,,
262,mollusks raw mixed species squid,1.0,53.0,107.0
263,yogurt lowfat vanilla greek,,,
264,white beans no added fat,,,
265,turkey raw light meat whole,,,
266,bear naked cereal peanut butter,,,
267,argo tea caffeine free organic,,,
268,sodastream sparkling drink mix limeade,,,
269,beef raw choice trimmed to,0.0,40.0,94.0
270,restaurant without meat fried rice,,,
271,pasta with cream sauce restaurant,,,
272,brown coconut sugar,,,
273,whale raw alaska native flipper,0.0,21.0,
274,sunshine cheezit crackers cheddar jack,,,
275,balsamic sugar free vinaigrette,,,
276,winged beans without salt boiled,14.0,47.0,104.0
277,banquet original links biggie bag,,,
278,dove not specified as to,,,
279,arugula pizza,,,
280,drinking vinegar,,,
281,beverages orange carbonated,1.0,3.0,0.0
282,bison raw grassfed ground,,,
283,pork broiled cooked separable lean,0.0,38.0,151.0
284,authentic guacamole squeeze,,,
285,cheese creamy jack monterey with,,,
286,vegetables no salt added mixed,5.0,74.0,
287,lamb shish kabob with vegetables,,,
288,big y ham steak,,,
289,fast foods and tomatoes ground,,,
290,raspberry lime lemon black cherry,,,
291,revolution foods ham cheddar kit,,,
292,birthday cake batterflavored ice cream,,,
293,quaker multigrain fiber crisps wild,,,
294,blueberry basil hard jun kombucha,,,
295,red gold italian diced tomatoes,,,
296,organic coconut water with real,,,
297,assorted ice pops lemon lime,,,
298,bear naked cereal all natural,,,
299,fish breadingbatter mix,,,
300,yoplait light strawberry yogurt,,,
301,peppers freezedried red sweet,,,
302,beverages contains caffeine with aspartame,0.0,12.0,
303,bacon meatless,3.0,33.0,121.0
304,hong kong express rice noodles,,,
305,asian persuaison gourmet bbq sauce,,,
306,black forest deli style thin,,,
307,buttermilk ranch dressing dip,,,
308,naturally chia seed,,,
309,crushed plum tomatoes in puree,,,
310,turkey roasted cooked meat and,0.0,34.0,139.0
311,campbells soup cream chicken,5.0,19.0,
312,almonta lightyogurt gourmet cheese spread,,,
313,pasta with cream sauce home,,,
314,baked beans barbecue,,,
315,frozen mocha coffee drink with,,,
316,plantains latino restaurant fried yellow,,,
317,enriched egg noodle product extra,,,
318,fruit punch made with juice,,,
319,cereals prepared with water raisins,22.0,59.0,
320,bertolli chicken rigatoni and broccoli,,,
321,boneless pork sirloin,0.0,37.0,145.0
322,energy drink xs,,,
323,cracker jack the original caramel,,,
324,cheese mexican a blend of,,,
325,chickpeas garbanzo beans bengal gram,23.0,49.0,107.0
326,veal braised cooked pancreas variety,0.0,39.0,
327,quaker cwy granola bars dipps,,,
328,big k soda dr,,,
329,potato from fresh home fries,,,
330,chicken fc chiknzips oven roasted,,,
331,angus roast beef,,,
332,pillsbury peanut butter cookie dough,,,
333,fast foods roast beef and,,,
334,turkey panbroiled crumbles fat lean,,,
335,tropical fruit flavored glucose chewable,,,
336,cookie with extra filling sandwich,5.0,19.0,64.0
337,blackberries frozen,6.0,59.0,
338,cascadian farm premium organic cut,,,
339,botticelli light in taste olive,,,
340,roast beef swiss sandwich,35.0,19.0,
341,diced fire roasted tomatoes with,,,
342,pineapple extra sweet variety raw,33.0,48.0,
343,tsd sales and distribution all,,,
344,wheat uncooked kamut khorasan,,,
345,bertolli chicken margherita and penne,,,
346,beef raw prime trimmed to,0.0,30.0,144.0
347,pillsbury reindeer shape sugar cookie,,,
348,veal raw separable lean only,0.0,45.0,138.0
349,oil high oleic primary safflower,,,
350,cacao superfood drink chocolate,,,
351,turkey skin eaten roasted dark,,,
352,beef with sweet and sour,,,
353,barton creek crossing pumpkin spread,,,
354,mcdonalds big mac without sauce,20.0,37.0,
355,bread toasted with raisins wheat,,,
356,annies organic chocolate chip bunny,,,
357,american cheese slices,0.0,22.0,
358,naked double berry protein juice,,,
359,low calorie thirst quencher fruit,0.0,14.0,0.0
360,infant formula liquid concentrate with,2.0,56.0,
361,fish oil herring,0.0,16.0,
362,organic forbidden rice ramen,,,
363,pasta readytoheat and added vegetables,,,
364,egg salad made with light,,,
365,ham sub,25.0,29.0,
366,bread toasted armenian grecian italian,,,
367,oil woks and light frying,0.0,6.0,0.0
368,kelloggs frosted flakes cereal multi,,,
369,amys organic traditional refried beans,,,
370,basil oregano flavored rice vinegar,,,
371,basil pesto,,,
372,pillsbury grands original flaky layer,,,
373,cookie applesauce,,,
374,kellogg nutrigrain cookies chocolate chip,,,
375,a classic combination of rich,,,
376,broccoli raw stalks,4.0,79.0,72.0
377,beef raw select trimmed to,0.0,42.0,94.0
378,pillsbury place bake peanut butter,,,
379,ham swiss half sub on,,,
380,murray lemon creme,,,
381,murray sugar free cookies chocolate,,,
382,bella terra italian whole peeled,,,
383,graham crackers with filling sandwich,,,
384,triticale,90.0,32.0,55.0
385,one coconut water beverage with,,,
386,pie individual size or tart,,,
387,dennys fried battered or breaded,,,
388,kale without salt drained boiled,3.0,88.0,91.0
389,potatoes unprepared frozen wedge cut,,,
390,nabisco snackwells fat free devils,8.0,16.0,
391,lamb raw liver imported new,,,
392,assorted ice pops,,,
393,original bread crumbs,,,
394,game meat raw elk,0.0,43.0,127.0
395,classic iced tea white cranberry,,,
396,cereals dry chocolate maltomeal,,,
397,bronze die artisan pasta gnocchi,,,
398,doughnuts unenriched includes honey buns,15.0,13.0,71.0
399,egg omelet or scrambled fat,,,
400,propel zero calories lemon flavored,,,
401,pinon nuts roasted navajo,1.0,30.0,
402,mollusks raw farmed eastern oyster,3.0,67.0,106.0
403,pork and darkgreen leafy tomatobased,,,
404,tofu and vegetables including carrots,,,
405,applefruit juice blend ba,,,
406,chicken or turkey soup not,,,
407,quarter pound beef patties,,,
408,soup prepared with equal volume,12.0,47.0,94.0
409,sandwich spread unspecified oils regular,17.0,8.0,133.0
410,pork panbroil heated separable lean,,,
411,sunshine cheezit crackers hot spicy,,,
412,ruffles creamy buffalo ranch dips,,,
413,chunky vegetable premium pasta sauce,,,
414,appleraspberry junior ba,,,
415,chicken ramen kusari noodles,,,
416,marie callenders frozen pie dessert,,,
417,beef braised cooked choice trimmed,0.0,38.0,94.0
418,pines green duo capsules mg,,,
419,premium sweet sour,,,
420,beef and noodles with gravy,,,
421,ginger beer mixer,,,
422,large eclair butter,,,
423,mini round patty shell,,,
424,arizona diet green tea blueberry,,,
425,pringles tortillas crisps chili cheese,,,
426,original air fryer recipe,,,
427,garlic stirin paste,,,
428,shrimp from fast food restaurant,,,
429,kashi organic cereal cherry cinnamon,,,
430,coffee flavored nonfat latte,,,
431,plsbry rdy to bake cut,,,
432,organic puttanesca sauce,,,
433,natural sunflower oil extra virgin,,,
434,pringles tortillas crisps original,,,
435,bean with bacon or ham,,,
436,protein snacks,,,
437,green peas not specified as,,,
438,pulp real coconut water,,,
439,sausage and rice with tomatobased,,,
440,organic pinto beans,,,
441,cheese pizza,19.0,37.0,
442,peanuts not further speficied,,,
443,premium quality chinese noodles,,,
444,sushi topped with crab,,,
445,bushs best bean pot baked,,,
446,pudding sugar free made from,,,
447,lemon lime performance sports drink,,,
448,larabar blueberry spinach cashew fruits,,,
449,peanut butter without salt chunk,0.0,32.0,55.0
450,albertsons rich creamy ice cream,,,
451,infant formula with ara and,10.0,57.0,
452,caribbean jerk with pineapple and,,,
453,rice cooked enriched parboiled longgrain,,,
454,soup prepared with equal volume,12.0,47.0,94.0
455,teeccino chocolate organic herbal dark,,,
456,turkey raw meat and skin,0.0,33.0,138.0
457,amport foods natural flax seeds,,,
458,beans raw in pod fava,10.0,64.0,
459,watermelon raw,3.0,52.0,52.0
460,glucose gel,,,
461,infant formula with ara and,10.0,57.0,
462,a semisweet basket cheese,,,
463,corned beef sandwich,27.0,17.0,
464,potato not further speficied baked,,,
465,infant formula made with plain,,,
466,coconut water with a lychee,,,
467,ravioli with tomato sauce cheese,1.0,45.0,
468,apples boiled cooked without skin,4.0,23.0,
469,whey protein powder,,,
470,original authentic hungarian homemade fine,,,
471,muscle cramps leg,,,
472,broadbeans with salt drained boiled,2.0,62.0,86.0
473,bubba diet cola,,,
474,crispy southern chicken frying mix,,,
475,birchberry bistro roasted garlic and,,,
476,market pantry enriched noodle product,,,
477,red gold ketchup,,,
478,enriched macaroni product extratildewide yolktildefree,,,
479,barqs root beer bottles fl,,,
480,avocado oil blended with extra,,,
481,chips ahoy cookies cinnamon donut,,,
482,betty crocker super moist triple,,,
483,beef braised cooked pancreas variety,0.0,47.0,109.0
484,chicken raw farm pantry top,,,
485,organic sliced mushrooms,,,
486,nuts dried pilinuts,0.0,22.0,67.0
487,veal fricassee puerto rican style,,,
488,silk raspberry soy yogurt,14.0,27.0,
489,gourmet drops,,,
490,turkey submarine sandwich tomato and,,,
491,betty crocker triple chocolate cake,,,
492,pork panbroil heated separable lean,,,
493,fast foods french toast sticks,24.0,22.0,
494,american pasteurized process cheese product,2.0,41.0,
495,fish dry heat cooked greenland,0.0,27.0,148.0
496,glutino gluten free breadcrumbs original,,,
497,beef raw aust marble score,,,
498,gatorade fruit punch thirst quencher,,,
499,infant formula powder with ara,10.0,57.0,
500,calories penne,,,
501,potato no added fat peel,,,
502,turkey skin eaten light meat,,,
503,pork loin chop boneless miscut,,,
504,bacon regular slice hickory smoked,,,
505,ben jerrys ice cream phish,,,
506,organic black seeds,,,
507,adobo with noodles,,,
508,potato chips plain ruffled,,,
509,oil fully hydrogenated cottonseed industrial,,,
510,lamb broiled cooked choice trimmed,0.0,30.0,141.0
511,kellogg product,17.0,70.0,
512,daily basmati rice,,,
513,alcoholic beverage rice sake,0.0,2.0,
514,cereals readytoeat organic flax plus,,,
515,browned chicken breast,,,
516,hc lb california special bcn,,,
517,betty crocker super moist butter,,,
518,dominos pepperoni pizza classic handtossed,,,
519,eden organic tamari soy sauce,,,
520,campbells chunky soup fajita chicken,11.0,30.0,
521,macaroni or noodles with cheese,,,
522,cajun dirty rice,,,
523,mcdonalds chicken mcnuggets,5.0,26.0,
524,kellogg fruit pieces nonlicensed berry,,,
525,bushs low sodium pinto beans,,,
526,roasted turkey on artisian wheat,,,
527,pulled pork in barbecue sauce,,,
528,muller corner greek honeyed apricot,,,
529,kelloggs special k cereal bars,,,
530,kids water enhancer,,,
531,chicken patty cooked frozen,2.0,27.0,120.0
532,kelloggs other licensed fruit pieces,,,
533,seafood sauce,,,
534,birthday cake ice cream sammie,,,
535,trendy shell square neutral,,,
536,bacon caesar dressing,,,
537,pillsbury cinnamon rolls with cream,,,
538,quake apple cinnamon instant oatmeal,,,
539,kale fat added cooked frozen,,,
540,dietetic or low calorie mints,,,
541,basil garlic alfredo pasta sauce,,,
542,fruit punch,1.0,32.0,
543,nuts without salt added with,1.0,31.0,81.0
544,enriched extra broad egg noodles,,,
545,hoist perfectly isotonic drink dragonfruit,,,
546,california ripe olive wedges,,,
547,infant formula not reconstituted liquid,2.0,56.0,
548,organic whole white chia,,,
549,flying goose brand sriracha hot,,,
550,c plain bread crumbs,,,
551,yoplait whips lf ygrt ccnt,,,
552,turkey breast roasted cooked meat,0.0,33.0,142.0
553,fish with skin alaska native,0.0,45.0,135.0
554,rice with shrimp fried,,,
555,campbells soup split pea ham,13.0,32.0,
556,abbey farm rhubarb ginger preserve,,,
557,betty crocker triple chocolate cake,,,
558,granulated no calorie sweetener with,,,
559,ashwagandha spicy chai organic super,,,
560,crackers saltine,35.0,29.0,36.0
561,fanta strawberry soda bottles fl,,,
562,burger king hamburger,17.0,35.0,69.0
563,keebler town house crackers tuscan,,,
564,lentils without salt stirfried cooked,,,
565,soup canned readytoserve low sodium,,,
566,ghost pepper organic tomato carrot,,,
567,potato baked from fresh french,,,
568,cookie sugar free peanut butter,,,
569,pork sparerib skirt meat vacuum,,,
570,classic italian marinara sauce,,,
571,duck roasted cooked boneless meat,0.0,24.0,146.0
572,roe cooked shad,,,
573,soup prepared with equal volume,12.0,47.0,94.0
574,mushrooms raw or crimini italian,1.0,67.0,86.0
575,munchies flamin hot peanuts ounce,,,
576,thirst quencher lemonlime juice,,,
577,childrens nutritional drink,,,
578,blueberries raw alaska native wild,1.0,53.0,
579,gamesa marias vanilla cookies ounce,,,
580,nuts hazelnuts or filberts,0.0,36.0,55.0
581,cknrstdsearedfsz,,,
582,coffee creamer,,,
583,natural raspberry tea berwed with,,,
584,peanut noodles quick meal,,,
585,kashi chewy bars peanut butter,,,
586,natural mexican style queso fresco,,,
587,tropicana pure premium grovestand lots,,,
588,beef and darkgreen leafy mushroom,,,
589,bugles sweet and salty chocolate,,,
590,bertolli grilled chicken alfredo and,,,
591,butterball lean white turkey,,,
592,barilla rotini pasta enriched macaroni,,,
593,cascadian farm organic harvest berries,,,
594,bai antioxidant supertea bottled tea,,,
595,fish cheeks and soft bones,0.0,20.0,
596,kashi organic cereal sweet potato,,,
597,infant formula made with tap,,,
598,salisbury steak dinner frozen meal,21.0,15.0,
599,chai black tea latte concentrate,,,
600,coffee flavored with nondairy milk,,,
601,bloody mary cocktail mix,,,
602,peppered turkey,0.0,8.0,
603,buffalo style chicken dip,,,
604,propel zero calories grape flavored,,,
605,extra crispy chinese noodles,,,
606,vanilla latte via instant,,,
607,berry hibiscus hard kombucha fizzy,,,
608,crisp cool glacier cherry thirst,,,
609,calorie burning,,,
610,chicken skin not eaten or,,,
611,soybean curd,10.0,49.0,
612,annies organic cinnamon rolls with,,,
613,sunshine cheezit crackers reduced fat,,,
614,ketchup,2.0,8.0,
615,pork raw with added solution,,,
616,baked beans honey,,,
617,beef raw choice trimmed to,0.0,40.0,94.0
618,crust restaurants kurt warners marinara,,,
619,fried seafood sandwich,,,
620,oil palm,0.0,3.0,
621,healthy choice cafe steamers frozen,,,
622,cereal general mills cinnamon toast,16.0,68.0,31.0
623,salad dressing for salads not,,,
624,blueberries dried,17.0,2.0,
625,cereals dry butter flavor instant,13.0,43.0,
626,gourmet cream whith white vinegar,,,
627,liquid water enhancer grape,,,
628,vital wheat gluten,2.0,26.0,
629,tomato vegetable soup with noodles,,,
630,fish raw mixed species grouper,0.0,42.0,148.0
631,chicken thigh from raw skin,,,
632,honey nut cheerios cereal,13.0,78.0,
633,black currant jelly,,,
634,ceramic travel mug with silicone,,,
635,pillsbury chocolate chunk cookie dough,,,
636,beef braised cooked choice trimmed,0.0,38.0,94.0
637,campbells soup broccoli cheeseff,,,
638,gray duck nine spice blend,,,
639,balsamic vinaigrette dressing light,,,
640,pasta with tomatobased sauce home,,,
641,oep tostada shells,,,
642,funyuns flaminhot onion flavored rings,,,
643,dailys precooked bacon regular readytoserve,,,
644,herring in cream sauce pickled,,,
645,oz pork artificial casing sausage,,,
646,chia seed super antioxidant,,,
647,pudding made from dry mix,,,
648,organic golden flaxseed meal,,,
649,pork loin strap off boneless,,,
650,pork roasted heated separable lean,18.0,42.0,132.0
651,bty crk frt rollups mini,,,
652,alcoholic beverage lemberger red table,0.0,0.0,
653,marie callenders cherry pie,,,
654,cheese sandwich with mayonnaise on,,,
655,stuffed chicken puerto rican style,,,
656,ahold electrolyte enhanced water,,,
657,gatorade lemonlime thirst quencher fluid,,,
658,bread made with nonfat dry,14.0,32.0,54.0
659,gatorade orange thirst quencher powder,,,
660,campbells gravy beef,2.0,7.0,
661,pasta restaurant with tomatobased sauce,,,
662,chick pea dip,,,
663,good thins crackers x,,,
664,cantinastyle salsa,,,
665,everyday value organic fettuccine macaroni,,,
666,bake rise crust pizza,,,
667,zico coconut water chocolate,,,
668,taco bell salad,34.0,44.0,118.0
669,jalapeno hushpuppies,,,
670,botanical cocktail soda syrup,,,
671,fiber one calorie chocolate fudge,,,
672,pork braised cooked separable lean,0.0,37.0,150.0
673,beef panfried cooked liver variety,,,
674,artisan crust pepperoni pizza,,,
675,peaches solids and liquids juice,7.0,47.0,
676,baresi pasta enriched macaroni product,,,
677,beef braised cooked select trimmed,0.0,39.0,94.0
678,crabs in tomatobased sauce puerto,,,
679,pancakes prepared from recipe buttermilk,6.0,31.0,101.0
680,cheese large or small curd,4.0,36.0,120.0
681,hanan peruvian secrets linaza flaxseed,,,
682,kashi organic cereal pepita sunflower,,,
683,pueblo lindo coconut water,,,
684,barbecueflavored chicken breast barbecue,,,
685,hmbrgr hlpr pasta sauce mix,,,
686,harmless harvest raw coconut water,,,
687,pasta with cream sauce restaurant,,,
688,flavored liquid sweetener,,,
689,olives with gouda,,,
690,quaker chocolate breakfast shake fl,,,
691,black bold coffee,,,
692,fudge with nuts vanilla,14.0,9.0,
693,chadalee farms horseradish extra hot,,,
694,marie callenders pot pie count,,,
695,frito lay sunflower seeds ranch,,,
696,all natural bloody mary mix,,,
697,durum semolina enriched macaroni product,,,
698,chicken raw meat only light,0.0,38.0,136.0
699,macaroni or pasta salad made,,,
700,soup prepared with equal volume,12.0,47.0,94.0
701,morningstar farms poultry chikn nuggets,,,
702,cascade ice diet tonic water,,,
703,lowfat small curd cultured cottage,,,
704,betty crocker rich creamy cherry,,,
705,bold flavor cocktail sauce,,,
706,black cherry fruit spread,,,
707,chicken thigh from precooked skin,,,
708,kelloggs special k crackers sour,,,
709,mollusks moist heat cooked mixed,3.0,69.0,107.0
710,oil poppyseed,0.0,2.0,0.0
711,conimex sweet soy sauce,,,
712,wendys single daves hot n,,,
713,quaker chewy granola bars bluberry,,,
714,bamboo shoots raw,4.0,74.0,73.0
715,electrolyte powder cherry,,,
716,pizza cooked frozen thin crust,,,
717,delicious strawberry moscato,,,
718,infant formula made with plain,,,
719,peanuts with salt boiled cooked,4.0,40.0,70.0
720,beef raw choice trimmed to,0.0,40.0,94.0
721,light ice cream bar chocolate,,,
722,bioitalia organic navy beans,,,
723,aqua zero water,,,
724,cheese mexican monterey jack asadero,,,
725,milk with added vitamin a,2.0,40.0,137.0
726,pure organic avocado oil,,,
727,all purpose vinegar,,,
728,lamb raw separable fat fresh,0.0,33.0,141.0
729,fish raw farmed channel catfish,0.0,37.0,148.0
730,frostings dry mix fluffy white,137.0,2.0,116.0
731,tropicana twister blue raspberry rush,,,
732,honey flavored with ginseng green,,,
733,salty dog,,,
734,bacon bits,1.0,33.0,
735,campbells condensed soup cream mushroom,3.0,7.0,
736,beef hash roast,11.0,20.0,
