,Food,Matching Food,Category of Matching Food,Number of common flavor molecules
89,Bakery Products,Smoked Fish,Fish,1
90,Bakery Products,Buckwheat,Herb,1
91,Bakery Products,Coriander,Herb,1
92,Bakery Products,Garlic,Herb,1
93,Bakery Products,Liqourice,Herb,1
94,Bakery Products,Beef,Meat,1
95,Bakery Products,Chicken,Meat,1
96,Bakery Products,Sukiyaki,Meat,1
97,Bakery Products,Cabbage,Cabbage,1
98,Bakery Products,Paneer,Dairy,1
99,Wheaten Bread,Beef Processed,Processed,19
100,Wheaten Bread,Beer Beverage,Beverage,18
101,Wheaten Bread,Cocoa,Seed,17
102,Wheaten Bread,Cognac Brandy Beverage,Brandy,12
103,Wheaten Bread,Pork,Meat,12
104,Wheaten Bread,Peanut,Nut,12
105,Wheaten Bread,Filbert,Nut,12
106,Wheaten Bread,Tea,Plant,12
107,Wheaten Bread,Malt,Cereal,11
108,Wheaten Bread,Soybean,Legume,11
109,Wheaten Bread,Rum Beverage,Beverage,10
110,Wheaten Bread,Scotch Whisky Beverage,Whisky,10
111,Wheaten Bread,Cheddar Cheese,Cheese,10
112,Wheaten Bread,Swiss Cheese,Cheese,10
113,Wheaten Bread,Asparagus Vegetable,Vegetable,10
114,Wheaten Bread,Bourbon Whisky Beverage,Whisky,9
115,Wheaten Bread,Finnish Whisky Beverage,Whisky,9
116,Wheaten Bread,Sherry Beverage,Beverage,9
117,Wheaten Bread,Barley,Cereal,9
118,Wheaten Bread,Rice,Cereal,9
119,Wheaten Bread,Shrimp,Seafood,9
120,Wheaten Bread,Guava,Fruit,9
121,Wheaten Bread,Mushroom,Fungus,9
122,Wheaten Bread,Chicken,Meat,9
123,Wheaten Bread,Potato Vegetable,Vegetable,9
124,Wheaten Bread,Whisky Beverage,Beverage,8
125,Wheaten Bread,Canadian Whisky Beverage,Whisky,8
126,Wheaten Bread,Japanese Whisky Beverage,Whisky,8
127,Wheaten Bread,Malt Whisky Beverage,Whisky,8
128,Wheaten Bread,Black Tea Beverage,Tea,8
129,Wheaten Bread,Butter,Dairy,8
130,Wheaten Bread,Blue Cheese,Cheese,8
131,Wheaten Bread,Tomato Vegetable,Vegetable,8
132,Wheaten Bread,Plum Brandy Beverage,Brandy,7
133,Wheaten Bread,Other Cheeses,Cheeses,7
134,Wheaten Bread,Russian Cheese,Cheese,7
135,Wheaten Bread,Milk,Dairy,7
136,Wheaten Bread,Clam,Seafood,7
137,Wheaten Bread,Squid,Seafood,7
138,Wheaten Bread,Peach,Fruit,7
139,Wheaten Bread,Beef,Meat,7
140,Wheaten Bread,Onion,Vegetable,7
141,Wheaten Bread,Pear Brandy Beverage,Brandy,6
142,Wheaten Bread,Red Wine Beverage,Wine,6
143,Wheaten Bread,White Wine Beverage,Wine,6
144,Wheaten Bread,Oats,Cereal,6
145,Wheaten Bread,Camembert Cheese,Cheese,6
146,Wheaten Bread,Gruyere Cheese,Cheese,8
147,Wheaten Bread,Parmesan Cheese,Cheese,6
148,Wheaten Bread,Provolone Cheese,Cheese,6
149,Wheaten Bread,Hops Oil Essential,Oil,6
150,Wheaten Bread,Scallop,Seafood,6
151,Wheaten Bread,Caviar,Fish,6
152,Wheaten Bread,Fatty Fish,Fish,6
153,Wheaten Bread,Grape,Fruit,6
154,Wheaten Bread,Beans,Legume,6
155,Wheaten Bread,Lima Beans,Beans,6
156,Wheaten Bread,Kidney Beans,Beans,6
157,Wheaten Bread,Pecans,Nut,6
158,Wheaten Bread,Green Beans,Beans,6
159,Wheaten Bread,Egg Animal,Animal,5
160,Wheaten Bread,Brandy Beverage,Beverage,5
161,Wheaten Bread,Anise Brandy Beverage,Brandy,5
162,Wheaten Bread,Apple Brandy Beverage,Brandy,5
163,Wheaten Bread,Armagnac Brandy Beverage,Brandy,5
164,Wheaten Bread,Blackberry Brandy Beverage,Brandy,5
165,Wheaten Bread,Cherry Brandy Beverage,Brandy,5
166,Wheaten Bread,Papaya Brandy Beverage,Brandy,5
167,Wheaten Bread,Raspberry Brandy Beverage,Brandy,5
168,Wheaten Bread,Weinbrand Brandy Beverage,Brandy,5
169,Wheaten Bread,Rose Wine Beverage,Wine,9
170,Wheaten Bread,Sparkling Wine Beverage,Wine,5
171,Wheaten Bread,Crispbread,Cereal,5
172,Wheaten Bread,Corn,Maize,5
173,Wheaten Bread,Comte Cheese,Cheese,9
174,Wheaten Bread,Cottage Cheese,Cheese,5
175,Wheaten Bread,Goat Cheese,Cheese,5
176,Wheaten Bread,Romano Cheese,Cheese,5
177,Wheaten Bread,Milk Fat,Fat,5
178,Wheaten Bread,Yogurt,Dairy,5
179,Wheaten Bread,Crab,Seafood,5
180,Wheaten Bread,Crayfish,Seafood,5
181,Wheaten Bread,Apple,Fruit,5
182,Wheaten Bread,Banana,Fruit,5
183,Wheaten Bread,Coconut,Fruit,5
184,Wheaten Bread,Mango,Fruit,5
185,Wheaten Bread,Orange,Fruit,5
186,Wheaten Bread,Passionfruit,Fruit,5
187,Wheaten Bread,Pineapple,Fruit,5
188,Wheaten Bread,Buckwheat,Herb,5
189,Wheaten Bread,Almond,Nut,5
190,Wheaten Bread,Tobacco,Plant,5
191,Wheaten Bread,Celery,Spice,5
192,Wheaten Bread,Fried Potato,Potato,5
193,Wheaten Bread,White Bread,Bread,4
194,Wheaten Bread,Wort,Beverage,4
195,Wheaten Bread,Botrytized Wine Beverage,Wine,4
196,Wheaten Bread,Port Wine Beverage,Wine,4
197,Wheaten Bread,Popcorn,Maize,4
198,White Bread,Oats,Cereal,6
199,White Bread,Corn,Maize,6
200,White Bread,Cocoa,Seed,6
201,White Bread,Onion,Vegetable,6
202,White Bread,Potato Vegetable,Vegetable,6
203,White Bread,Cognac Brandy Beverage,Brandy,5
204,White Bread,Coffee Beverage,Beverage,5
205,White Bread,Rice,Cereal,5
206,White Bread,Vanilla Fruit,Fruit,5
207,White Bread,Pork,Meat,5
208,White Bread,Lima Beans,Beans,5
209,White Bread,Kidney Beans,Beans,5
210,White Bread,Peanut,Nut,5
211,White Bread,Green Beans,Beans,5
212,White Bread,Wheaten Bread,Bread,4
213,White Bread,Beer Beverage,Beverage,4
214,White Bread,Blue Cheese,Cheese,4
215,White Bread,Cheddar Cheese,Cheese,4
216,White Bread,Parmesan Cheese,Cheese,4
217,White Bread,Apple,Fruit,4
218,White Bread,Grape,Fruit,4
219,White Bread,Pineapple,Fruit,4
220,White Bread,Beef,Meat,4
221,White Bread,Beef Processed,Processed,4
222,White Bread,Peas,Legume,4
223,White Bread,Soybean,Legume,4
224,White Bread,Tomato Vegetable,Vegetable,4
225,White Bread,Beetroot Vegetable,Vegetable,4
226,White Bread,Asparagus Vegetable,Vegetable,4
227,White Bread,Red Raspberry,Raspberry,4
228,White Bread,Malt Whisky Beverage,Whisky,3
229,White Bread,Wine Beverage,Beverage,3
230,White Bread,Bilberry Wine Beverage,Wine,3
231,White Bread,Botrytized Wine Beverage,Wine,3
232,White Bread,Champagne Beverage,Beverage,3
233,White Bread,Plum Wine Beverage,Wine,3
234,White Bread,Port Wine Beverage,Wine,3
235,White Bread,Red Wine Beverage,Wine,3
236,White Bread,Rose Wine Beverage,Wine,9
237,White Bread,Sherry Beverage,Beverage,3
238,White Bread,Sparkling Wine Beverage,Wine,3
239,White Bread,Strawberry Wine Beverage,Wine,3
240,White Bread,White Wine Beverage,Wine,3
241,White Bread,Cottage Cheese,Cheese,3
242,White Bread,Cream Cheese,Cheese,3
243,White Bread,Durian,Fruit,3
244,White Bread,Guava,Fruit,3
245,White Bread,Mango,Fruit,3
246,White Bread,Passionfruit,Fruit,3
247,White Bread,Citrus Fruits Fruit,Fruits,3
248,White Bread,Mushroom,Fungus,3
249,White Bread,Dill,Herb,3
250,White Bread,Chicken,Meat,3
251,White Bread,Frankfurter Sausage,Sausage,3
252,White Bread,Ham,Meat,3
253,White Bread,Lamb,Meat,3
254,White Bread,Turkey,Meat,3
255,White Bread,Almond,Nut,3
256,White Bread,Beans,Legume,3
257,White Bread,Pecans,Nut,3
258,White Bread,Tea,Plant,3
259,White Bread,Rye,Cereal,3
260,White Bread,Celery,Spice,3
261,White Bread,Clove,Spice,3
262,White Bread,Mustard,Cabbage,3
263,White Bread,Carrot Vegetable,Vegetable,3
264,White Bread,Colocasia,Vegetable,3
265,White Bread,Egg Animal,Animal,2
266,White Bread,Bread,Bakery,2
267,White Bread,Brandy Beverage,Beverage,2
268,White Bread,Anise Brandy Beverage,Brandy,2
269,White Bread,Apple Brandy Beverage,Brandy,2
270,White Bread,Armagnac Brandy Beverage,Brandy,2
271,White Bread,Blackberry Brandy Beverage,Brandy,2
272,White Bread,Cherry Brandy Beverage,Brandy,2
273,White Bread,Papaya Brandy Beverage,Brandy,2
274,White Bread,Pear Brandy Beverage,Brandy,2
275,White Bread,Plum Brandy Beverage,Brandy,2
276,White Bread,Raspberry Brandy Beverage,Brandy,2
277,White Bread,Weinbrand Brandy Beverage,Brandy,2
278,White Bread,Rum Beverage,Beverage,2
279,White Bread,Whisky Beverage,Beverage,2
280,White Bread,Bourbon Whisky Beverage,Whisky,2
281,White Bread,Canadian Whisky Beverage,Whisky,2
282,White Bread,Finnish Whisky Beverage,Whisky,2
283,White Bread,Japanese Whisky Beverage,Whisky,2
284,White Bread,Scotch Whisky Beverage,Whisky,2
285,White Bread,Corn Oil,Oil,2
286,White Bread,Popcorn,Maize,2
287,White Bread,Sweetcorn,Maize,2
288,White Bread,Buttermilk,Dairy,2
289,White Bread,Mozzarella Cheese,Cheese,2
290,White Bread,Milk,Dairy,2
291,White Bread,Chamomile Essential,Essential,2
292,White Bread,Citrus Peel Oil,Essential Oil,2
293,White Bread,Hops Oil Essential,Oil,2
294,White Bread,Hyssop Oil Essential,Oil,2
295,White Bread,Lemon Grass Essential,Grass,2
296,White Bread,Lovage Essential,Essential,2
297,Wholewheat Bread,Coffee Beverage,Beverage,38
298,Wholewheat Bread,Tea,Plant,38
299,Wholewheat Bread,Cocoa,Seed,36
300,Wholewheat Bread,Tomato Vegetable,Vegetable,35
301,Wholewheat Bread,Apple,Fruit,32
302,Wholewheat Bread,Peanut,Nut,32
303,Wholewheat Bread,Grape,Fruit,31
304,Wholewheat Bread,Wine Beverage,Beverage,30
305,Wholewheat Bread,Green Beans,Beans,30
306,Wholewheat Bread,Potato Vegetable,Vegetable,30
307,Wholewheat Bread,Mango,Fruit,29
308,Wholewheat Bread,Beans,Legume,29
309,Wholewheat Bread,Pork,Meat,28
310,Wholewheat Bread,Soybean,Legume,27
311,Wholewheat Bread,Beef Processed,Processed,26
312,Wholewheat Bread,Sherry Beverage,Beverage,25
313,Wholewheat Bread,Rice,Cereal,25
314,Wholewheat Bread,Corn,Maize,25
315,Wholewheat Bread,Banana,Fruit,25
316,Wholewheat Bread,Peas,Legume,25
317,Wholewheat Bread,Rum Beverage,Beverage,24
318,Wholewheat Bread,Apricot,Fruit,24
319,Wholewheat Bread,Peach,Fruit,24
320,Wholewheat Bread,Pineapple,Fruit,24
321,Wholewheat Bread,Plum,Fruit,24
322,Wholewheat Bread,Strawberry,Berry,24
323,Wholewheat Bread,Olive,Plant,24
324,Wholewheat Bread,Red Wine Beverage,Wine,23
325,Wholewheat Bread,Cheese,Dairy,23
326,Wholewheat Bread,Other Cheeses,Cheeses,23
327,Wholewheat Bread,Parmesan Cheese,Cheese,23
328,Wholewheat Bread,Russian Cheese,Cheese,23
329,Wholewheat Bread,Cherimoya,Fruit,23
330,Wholewheat Bread,Black Currant,Currant,23
331,Wholewheat Bread,Guava,Fruit,23
332,Wholewheat Bread,Mushroom,Fungus,23
333,Wholewheat Bread,Lima Beans,Beans,23
334,Wholewheat Bread,Capsicum Vegetable,Vegetable,23
335,Wholewheat Bread,Cognac Brandy Beverage,Brandy,22
336,Wholewheat Bread,Port Wine Beverage,Wine,22
337,Wholewheat Bread,White Wine Beverage,Wine,22
338,Wholewheat Bread,Butter,Dairy,22
339,Wholewheat Bread,Camembert Cheese,Cheese,22
340,Wholewheat Bread,Gruyere Cheese,Cheese,8
341,Wholewheat Bread,Milk,Dairy,22
342,Wholewheat Bread,Fig,Fruit,22
343,Wholewheat Bread,Orange,Fruit,22
344,Wholewheat Bread,Starfruit,Fruit,22
345,Wholewheat Bread,Melon,Fruit,21
346,Wholewheat Bread,Papaya,Fruit,21
347,Wholewheat Bread,Raspberry,Berry,21
348,Wholewheat Bread,Buckwheat,Herb,21
349,Wholewheat Bread,Pecans,Nut,21
350,Wholewheat Bread,Bilberry Wine Beverage,Wine,20
351,Wholewheat Bread,Botrytized Wine Beverage,Wine,20
352,Wholewheat Bread,Champagne Beverage,Beverage,20
353,Wholewheat Bread,Plum Wine Beverage,Wine,20
354,Wholewheat Bread,Rose Wine Beverage,Wine,9
355,Wholewheat Bread,Sparkling Wine Beverage,Wine,20
356,Wholewheat Bread,Strawberry Wine Beverage,Wine,20
357,Wholewheat Bread,Cheddar Cheese,Cheese,20
358,Wholewheat Bread,Domiati Cheese,Cheese,20
359,Wholewheat Bread,Emmental Cheese,Cheese,20
360,Wholewheat Bread,Feta Cheese,Cheese,20
361,Wholewheat Bread,Limburger Cheese,Cheese,20
362,Wholewheat Bread,Swiss Cheese,Cheese,20
363,Wholewheat Bread,Tilsit Cheese,Cheese,20
364,Wholewheat Bread,Cranberry,Berry,20
365,Wholewheat Bread,Chicken,Meat,20
366,Wholewheat Bread,Asparagus Vegetable,Vegetable,20
367,Wholewheat Bread,Malt Whisky Beverage,Whisky,19
368,Wholewheat Bread,Malt,Cereal,19
369,Wholewheat Bread,Blue Cheese,Cheese,19
370,Wholewheat Bread,Comte Cheese,Cheese,9
371,Wholewheat Bread,Cottage Cheese,Cheese,19
372,Wholewheat Bread,Cream Cheese,Cheese,19
373,Wholewheat Bread,Goat Cheese,Cheese,19
374,Wholewheat Bread,Mozzarella Cheese,Cheese,19
375,Wholewheat Bread,Munster Cheese,Cheese,19
376,Wholewheat Bread,Provolone Cheese,Cheese,19
377,Wholewheat Bread,Romano Cheese,Cheese,19
378,Wholewheat Bread,Roquefort Cheese,Cheese,19
379,Wholewheat Bread,Sheep Cheese,Cheese,19
380,Wholewheat Bread,Red Currant,Currant,19
381,Wholewheat Bread,Pear,Fruit,19
382,Wholewheat Bread,Tamarind,Fruit,19
383,Wholewheat Bread,Vanilla Fruit,Fruit,19
384,Wholewheat Bread,Cabbage,Cabbage,19
385,Wholewheat Bread,Carrot Vegetable,Vegetable,19
386,Wholewheat Bread,Shrimp,Seafood,18
387,Wholewheat Bread,Musk Melon,Melon,18
388,Wholewheat Bread,Passionfruit,Fruit,18
389,Wholewheat Bread,Quince,Fruit,18
390,Wholewheat Bread,Gooseberry,Berry,18
391,Wholewheat Bread,Kidney Beans,Beans,18
392,Wholewheat Bread,Filbert,Nut,18
393,Wholewheat Bread,Oats,Cereal,17
394,Wholewheat Bread,Hops Oil Essential,Oil,17
395,Wholewheat Bread,Rhubarb,Herb,17
396,Wort,Tea,Plant,48
397,Wort,Cognac Brandy Beverage,Brandy,42
398,Wort,Rice,Cereal,42
399,Wort,Malt,Cereal,41
400,Wort,Mushroom,Fungus,39
401,Wort,Coffee Beverage,Beverage,38
402,Wort,Guava,Fruit,37
403,Wort,Mango,Fruit,37
404,Wort,Tomato Vegetable,Vegetable,37
405,Wort,Cocoa,Seed,36
406,Wort,Potato Vegetable,Vegetable,36
407,Wort,White Wine Beverage,Wine,35
408,Wort,Gruyere Cheese,Cheese,8
409,Wort,Soybean,Legume,35
410,Wort,Apple,Fruit,34
411,Wort,Grape,Fruit,34
412,Wort,Rum Beverage,Beverage,33
413,Wort,Sherry Beverage,Beverage,33
414,Wort,Blue Cheese,Cheese,33
415,Wort,Swiss Cheese,Cheese,33
416,Wort,Cheddar Cheese,Cheese,32
417,Wort,Parmesan Cheese,Cheese,32
418,Wort,Vanilla Fruit,Fruit,32
419,Wort,Camembert Cheese,Cheese,31
420,Wort,Red Wine Beverage,Wine,30
421,Wort,Feta Cheese,Cheese,30
422,Wort,Limburger Cheese,Cheese,30
423,Wort,Mozzarella Cheese,Cheese,30
424,Wort,Other Cheeses,Cheeses,30
425,Wort,Russian Cheese,Cheese,30
426,Wort,Buckwheat,Herb,30
427,Wort,Cheese,Dairy,29
428,Wort,Comte Cheese,Cheese,9
429,Wort,Cottage Cheese,Cheese,29
430,Wort,Cream Cheese,Cheese,29
431,Wort,Domiati Cheese,Cheese,29
432,Wort,Emmental Cheese,Cheese,29
433,Wort,Goat Cheese,Cheese,29
434,Wort,Munster Cheese,Cheese,29
435,Wort,Provolone Cheese,Cheese,29
436,Wort,Romano Cheese,Cheese,29
437,Wort,Roquefort Cheese,Cheese,29
438,Wort,Sheep Cheese,Cheese,29
439,Wort,Tilsit Cheese,Cheese,29
440,Wort,Peanut,Nut,29
441,Wort,Green Beans,Beans,29
442,Wort,Rose Wine Beverage,Wine,9
443,Wort,Papaya,Fruit,28
444,Wort,Passionfruit,Fruit,28
445,Wort,Starfruit,Fruit,28
446,Wort,Strawberry,Berry,28
447,Wort,Beans,Legume,28
448,Wort,Lima Beans,Beans,28
449,Wort,Asparagus Vegetable,Vegetable,28
450,Wort,Wine Beverage,Beverage,27
451,Wort,Sparkling Wine Beverage,Wine,27
452,Wort,Butter,Dairy,27
453,Wort,Milk,Dairy,27
454,Wort,Hops Oil Essential,Oil,27
455,Wort,Coconut,Fruit,27
456,Wort,Raspberry,Berry,27
457,Wort,Pork,Meat,27
458,Wort,Bilberry Wine Beverage,Wine,26
459,Wort,Botrytized Wine Beverage,Wine,26
460,Wort,Champagne Beverage,Beverage,26
461,Wort,Plum Wine Beverage,Wine,26
462,Wort,Port Wine Beverage,Wine,26
463,Wort,Strawberry Wine Beverage,Wine,26
464,Wort,Tamarind,Fruit,26
465,Wort,Oats,Cereal,25
466,Wort,Ginger,Spice,25
467,Wort,Black Currant,Currant,24
468,Wort,Melon,Fruit,24
469,Wort,Cranberry,Berry,24
470,Wort,Beef Processed,Processed,24
471,Wort,Pecans,Nut,24
472,Wort,Malt Whisky Beverage,Whisky,23
473,Wort,Scotch Whisky Beverage,Whisky,23
474,Wort,Corn,Maize,23
475,Wort,Apricot,Fruit,23
476,Wort,Banana,Fruit,23
477,Wort,Peach,Fruit,23
478,Wort,Sesame,Seed,23
479,Wort,Cardamom,Spice,23
480,Wort,Capsicum Vegetable,Vegetable,23
481,Wort,Mate Beverage,Beverage,22
482,Wort,Clam,Seafood,22
483,Wort,Shrimp,Seafood,22
484,Wort,Kidney Beans,Beans,22
485,Wort,Bourbon Whisky Beverage,Whisky,21
486,Wort,Finnish Whisky Beverage,Whisky,21
487,Wort,Orange,Fruit,21
488,Wort,Pineapple,Fruit,21
489,Wort,Grapefruit Fruit,Fruit,21
490,Wort,Dill,Herb,21
491,Wort,Bread,Bakery,20
492,Wort,Whisky Beverage,Beverage,20
493,Wort,Canadian Whisky Beverage,Whisky,20
494,Wort,Japanese Whisky Beverage,Whisky,20
495,Arrack,Cocoa,Seed,5
496,Arrack,Cognac Brandy Beverage,Brandy,4
497,Arrack,Malt Whisky Beverage,Whisky,4
498,Arrack,Cider Beverage,Beverage,4
499,Arrack,Port Wine Beverage,Wine,4
500,Arrack,Red Wine Beverage,Wine,4
501,Arrack,Sherry Beverage,Beverage,4
502,Arrack,Sparkling Wine Beverage,Wine,4
503,Arrack,Strawberry Wine Beverage,Wine,4
504,Arrack,White Wine Beverage,Wine,4
505,Arrack,Banana,Fruit,4
506,Arrack,Grape,Fruit,4
507,Arrack,Papaya,Fruit,4
508,Arrack,Passionfruit,Fruit,4
509,Arrack,Pineapple,Fruit,4
510,Arrack,Strawberry,Berry,4
511,Arrack,Tomato Vegetable,Vegetable,4
512,Arrack,Bread,Bakery,3
513,Arrack,Beer Beverage,Beverage,3
514,Arrack,Apple Brandy Beverage,Brandy,3
515,Arrack,Plum Brandy Beverage,Brandy,3
516,Arrack,Rum Beverage,Beverage,3
517,Arrack,Bourbon Whisky Beverage,Whisky,3
518,Arrack,Scotch Whisky Beverage,Whisky,3
519,Arrack,Wine Beverage,Beverage,3
520,Arrack,Bilberry Wine Beverage,Wine,3
521,Arrack,Botrytized Wine Beverage,Wine,3
522,Arrack,Champagne Beverage,Beverage,3
523,Arrack,Plum Wine Beverage,Wine,3
524,Arrack,Rose Wine Beverage,Wine,9
525,Arrack,Camembert Cheese,Cheese,3
526,Arrack,Comte Cheese,Cheese,9
527,Arrack,Domiati Cheese,Cheese,3
528,Arrack,Feta Cheese,Cheese,3
529,Arrack,Gruyere Cheese,Cheese,8
530,Arrack,Provolone Cheese,Cheese,3
531,Arrack,Apricot,Fruit,3
532,Arrack,Black Currant,Currant,3
533,Arrack,Fig,Fruit,3
534,Arrack,Guava,Fruit,3
535,Arrack,Jackfruit,Fruit,3
536,Arrack,Loquat,Fruit,3
537,Arrack,Melon,Fruit,3
538,Arrack,Peach,Fruit,3
539,Arrack,Pear,Fruit,3
540,Arrack,Prickly Pear,Pear,3
541,Arrack,Plum,Fruit,3
542,Arrack,Raspberry,Berry,3
543,Arrack,Soybean,Legume,3
544,Arrack,Honey Plant,Plant,3
545,Arrack,Vinegar Plant,Plant,3
546,Arrack,Ginger,Spice,3
547,Arrack,Anise Brandy Beverage,Brandy,2
548,Arrack,Armagnac Brandy Beverage,Brandy,2
549,Arrack,Cherry Brandy Beverage,Brandy,2
550,Arrack,Pear Brandy Beverage,Brandy,2
551,Arrack,Gin Beverage,Beverage,2
552,Arrack,Whisky Beverage,Beverage,2
553,Arrack,Canadian Whisky Beverage,Whisky,2
554,Arrack,Finnish Whisky Beverage,Whisky,2
555,Arrack,Japanese Whisky Beverage,Whisky,2
556,Arrack,Sake Beverage,Beverage,2
557,Arrack,Oats,Cereal,2
558,Arrack,Rice,Cereal,2
559,Arrack,Butter,Dairy,2
560,Arrack,Cheese,Dairy,2
561,Arrack,Blue Cheese,Cheese,2
562,Arrack,Cheddar Cheese,Cheese,2
563,Arrack,Cottage Cheese,Cheese,2
564,Arrack,Cream Cheese,Cheese,2
565,Arrack,Emmental Cheese,Cheese,2
566,Arrack,Goat Cheese,Cheese,2
567,Arrack,Limburger Cheese,Cheese,2
568,Arrack,Mozzarella Cheese,Cheese,2
569,Arrack,Munster Cheese,Cheese,2
570,Arrack,Other Cheeses,Cheeses,2
571,Arrack,Parmesan Cheese,Cheese,2
572,Arrack,Romano Cheese,Cheese,2
573,Arrack,Roquefort Cheese,Cheese,2
574,Arrack,Russian Cheese,Cheese,2
575,Arrack,Sheep Cheese,Cheese,2
576,Arrack,Swiss Cheese,Cheese,2
577,Arrack,Tilsit Cheese,Cheese,2
578,Arrack,Yogurt,Dairy,2
579,Arrack,Kiwifruit,Fruit,2
580,Arrack,Litchi,Fruit,2
581,Arrack,Musk Melon,Melon,2
582,Arrack,Orange,Fruit,2
583,Arrack,Bartlett Pear,Pear,2
584,Arrack,Quince,Fruit,2
585,Arrack,Starfruit,Fruit,2
586,Arrack,Cherry,Berry,2
587,Arrack,Sour Cherry,Cherry,2
588,Arrack,Cranberry,Berry,2
589,Arrack,Gooseberry,Berry,2
590,Arrack,Lingonberry,Berry,2
591,Arrack,Vanilla Fruit,Fruit,2
592,Arrack,Mushroom,Fungus,2
593,Arrack,Buckwheat,Herb,2
594,Bantu Beer,Apple,Fruit,9
595,Bantu Beer,Grape,Fruit,9
596,Bantu Beer,Cocoa,Seed,9
597,Bantu Beer,Beans,Legume,9
598,Bantu Beer,Lima Beans,Beans,9
599,Bantu Beer,Olive,Plant,9
600,Bantu Beer,Tea,Plant,9
601,Bantu Beer,Green Beans,Beans,9
602,Bantu Beer,Cognac Brandy Beverage,Brandy,8
603,Bantu Beer,Plum Brandy Beverage,Brandy,8
