Name,Ash,Calcium,Calories,Carbohydrate,Copper,Fat,Iron,Magnesium,Potassium,Protein,Saturated_fatty_acids,Sodium,Vitamin_A_RAE,Vitamin_B6,Water,Zinc,Fatty_acids_total_trans,Manganese,Vitamin_D,Glycemic_Load,Completeness_Score,Amino_Acid_Score,Category,Sub_Category,cluster,Cohort
seaweed raw laver,0.98,18.2,9.1,1.33,0.07,0.073,0.47,0.52,92.56,1.51,0.016,12.48,67.6,0.041,22.11,0.27,0.0,0.257,0.0,1.0,84.0,75.0,Branded Foods,,0,Confectionaries
seaweed dried spirulina,6.98,134.4,325.0,26.77,6.83,8.646,31.92,218.4,1526.56,64.37,2.968,1173.76,32.48,0.408,5.24,2.24,0.0,2.128,0.0,10.0,69.0,103.0,Branded Foods,,2,Frozen & Preserved
fiddlehead ferns raw,0.83,32.0,34.0,5.54,0.32,0.4,1.31,34.0,370.0,4.55,,1.0,181.0,,88.68,0.83,0.0,0.51,0.0,1.0,66.0,,Branded Foods,Honey,1,Whole Nutrient
sweetener agave syrup,0.01,0.07,21.0,5.27,0.0,0.031,0.01,0.07,0.28,0.01,0.0,0.28,0.55,0.016,1.58,0.0,,0.0,0.0,,,,Branded Foods,,1,Whole Nutrient
peppers dried ancho,1.0,10.37,48.0,8.74,0.09,1.394,1.86,19.21,409.87,2.02,0.139,7.31,173.74,0.601,3.85,0.24,0.0,0.217,0.0,2.0,63.0,85.0,Branded Foods,,1,Whole Nutrient
seaweed raw agar,0.14,5.4,2.6,0.68,0.01,0.003,0.19,6.7,22.6,0.05,0.001,0.9,0.0,0.003,9.13,0.06,0.0,0.037,0.0,0.0,58.0,,Branded Foods,,3,Packaged
crackers water biscuits,0.27,0.0,54.0,10.19,0.02,1.0,0.0,2.8,13.86,1.0,0.0,79.94,0.0,0.006,1.54,0.09,0.0,,0.0,,,,Branded Foods,Crusts_AND_Dough,0,Confectionaries
potatoes skin raw,0.61,11.4,22.0,4.73,0.16,0.038,1.23,8.74,156.94,0.98,0.01,3.8,0.0,0.091,31.65,0.13,0.0,0.229,0.0,29.0,51.0,112.0,Branded Foods,,1,Whole Nutrient
danish pastry cheese,0.43,9.92,106.0,10.55,0.03,6.209,0.51,4.25,27.78,2.27,1.926,118.22,9.92,0.011,8.9,0.2,,0.1,0.0,14.0,19.0,105.0,Branded Foods,Crusts_AND_Dough,0,Confectionaries
onions dehydrated flakes,0.17,12.85,17.0,4.16,0.02,0.023,0.08,4.6,81.1,0.45,0.004,1.05,0.05,0.08,0.2,0.09,0.0,0.069,0.0,2.0,54.0,64.0,Branded Foods,,1,Whole Nutrient
malabar spinach cooked,0.46,54.56,10.0,1.19,0.05,0.343,0.65,21.12,112.64,1.31,,24.2,25.52,0.038,40.7,0.13,0.0,0.112,0.0,0.0,85.0,,Branded Foods,,5,Unhealthy & Over-indulgent
fat beef tallow,0.0,0.0,115.0,0.0,0.0,12.8,0.0,0.0,0.0,0.0,6.374,0.0,0.0,0.0,0.0,0.0,,,0.09,0.0,0.0,0.0,Branded Foods,Honey,1,Whole Nutrient
soybeans raw green,4.35,504.32,376.0,28.29,0.33,17.408,9.09,166.4,1587.2,33.15,2.012,38.4,23.04,0.166,172.8,2.53,0.0,1.4,0.0,11.0,69.0,85.0,Branded Foods,,1,Whole Nutrient
roast beef spread,1.72,13.11,127.0,2.13,0.06,9.28,1.17,13.68,147.63,8.7,3.648,412.68,0.0,0.085,35.17,3.47,,,,2.0,33.0,,Branded Foods,,5,Unhealthy & Over-indulgent
babyfood apple juice,0.06,1.27,15.0,3.71,0.01,0.032,0.18,0.95,28.85,0.0,0.006,2.54,0.32,0.009,27.9,0.01,,,0.0,1.0,24.0,,Standard Reference Foods,Baked_Products,1,Whole Nutrient
chicory raw witloof,0.25,10.07,9.0,2.12,0.03,0.053,0.13,5.3,111.83,0.48,0.013,1.06,0.53,0.022,50.1,0.08,0.0,0.053,0.0,0.0,71.0,18.0,Branded Foods,Canned_Tuna,1,Whole Nutrient
canadian bacon unprepared,2.87,5.1,94.0,1.14,0.05,2.227,0.37,17.0,580.55,17.26,0.765,638.35,0.0,0.205,61.49,1.05,0.006,0.013,0.09,,,,Branded Foods,Powdered_Drinks,2,Frozen & Preserved
ostrich raw tenderloin,0.62,5.1,105.0,0.0,0.12,2.711,4.15,18.7,272.0,18.76,0.994,73.1,0.0,0.441,63.33,3.29,,0.015,,0.0,49.0,128.0,Branded Foods,,4,Keto & Strength
seaweed dried agar,3.93,625.0,306.0,80.88,0.61,0.3,21.4,770.0,1125.0,6.21,0.061,102.0,0.0,0.303,8.68,5.8,0.0,4.3,0.0,12.0,59.0,,Branded Foods,,3,Packaged
seaweed raw kelp,0.66,16.8,4.3,0.96,0.01,0.056,0.28,12.1,8.9,0.17,0.025,23.3,0.6,0.0,8.16,0.12,0.0,0.02,0.0,0.0,80.0,79.0,Branded Foods,,2,Frozen & Preserved
olive loaf pork,1.2,30.52,66.0,2.58,0.01,4.62,0.15,5.32,83.16,3.3,1.638,269.92,16.8,0.064,16.3,0.39,,0.01,0.31,1.0,35.0,126.0,Branded Foods,,2,Frozen & Preserved
brussels sprouts raw,1.21,36.96,38.0,7.88,0.06,0.264,1.23,20.24,342.32,2.97,0.055,22.0,33.44,0.193,75.68,0.37,0.0,0.297,0.0,3.0,90.0,61.0,Foundation Foods,Tomatoes,3,Packaged
candies sesame crunch,0.74,181.16,146.0,14.26,0.27,9.441,1.21,71.16,87.03,3.29,1.322,47.34,0.0,0.139,0.62,1.07,,0.456,0.0,0.0,39.0,,Branded Foods,Powdered_Drinks,4,Keto & Strength
bologna pork chicken,1.13,54.88,94.0,1.17,0.01,8.571,0.31,4.48,45.36,2.89,2.762,347.2,3.64,0.053,14.24,0.29,0.079,0.012,,0.0,27.0,112.0,Foundation Foods,Tomatoes,2,Frozen & Preserved
cabbage cooked napa,0.19,31.61,13.0,2.43,0.1,0.185,0.81,8.72,94.83,1.2,,11.99,14.17,0.04,105.0,0.15,0.0,0.221,0.0,2.0,70.0,,Branded Foods,Gravy_Mix,0,Confectionaries
vinespinach raw basella,1.4,109.0,19.0,3.4,0.11,0.3,1.2,65.0,510.0,1.8,,24.0,400.0,0.24,93.1,0.43,0.0,0.735,0.0,1.0,76.0,94.0,Branded Foods,,0,Confectionaries
mushrooms grilled portabella,1.27,3.63,35.0,5.37,0.47,0.702,0.48,15.73,528.77,3.97,0.077,13.31,0.0,0.148,109.7,0.79,0.0,0.081,0.36,3.0,63.0,46.0,Branded Foods,,3,Packaged
chicken boiled feet,0.0,74.8,183.0,0.17,0.09,12.41,0.77,4.25,26.35,16.49,3.332,56.95,25.5,0.009,55.93,0.59,,,0.17,0.0,25.0,,Branded Foods,Canned_Tuna,4,Keto & Strength
beverages orange carbonated,0.03,1.55,15.0,3.81,0.0,0.0,0.02,0.31,0.62,0.0,0.0,3.72,0.0,0.0,27.16,0.03,0.0,0.004,,1.0,3.0,0.0,Foundation Foods,Tomatoes,1,Whole Nutrient
tostada shells corn,0.33,9.35,58.0,7.92,0.02,2.876,0.19,9.35,29.15,0.76,0.862,80.81,,0.045,0.41,0.15,0.02,0.045,,,,,Branded Foods,,0,Confectionaries
cabbage salted mustard,1.37,85.76,36.0,7.21,0.04,0.128,0.9,19.2,314.88,1.41,0.017,917.76,62.72,0.384,117.89,0.38,0.0,0.279,0.0,2.0,76.0,,Branded Foods,Gravy_Mix,2,Frozen & Preserved
restaurant bunuelos fried yeast bread latino,1.31,150.5,323.0,34.0,0.03,18.368,1.25,13.3,72.8,5.61,4.784,292.6,,0.044,10.71,0.64,0.545,0.274,,,,,Branded Foods,,0,Confectionaries
duck raw meat and skin domesticated,0.74,10.2,315.0,0.0,0.23,28.577,2.12,15.3,261.8,13.48,8.313,62.05,14.45,0.331,42.21,1.46,,0.017,,0.0,20.0,137.0,Branded Foods,,1,Whole Nutrient
goose raw meat and skin domesticated,0.74,10.2,315.0,0.0,0.23,28.577,2.12,15.3,261.8,13.48,8.313,62.05,14.45,0.331,42.21,1.46,,0.017,,0.0,25.0,152.0,Branded Foods,,1,Whole Nutrient
ham and cheese loaf or roll,0.95,16.24,67.0,1.12,0.02,5.236,0.25,4.48,82.32,3.81,1.95,280.0,0.0,0.073,16.88,0.56,,,0.31,1.0,33.0,181.0,Branded Foods,,2,Frozen & Preserved
beverages sugar free amp energy drink,1.49,0.0,4.8,2.47,0.01,0.0,0.0,7.2,4.8,0.0,0.0,74.4,0.0,0.199,236.04,0.0,0.0,,0.0,,,,Foundation Foods,Tomatoes,2,Frozen & Preserved
babyfood strained with egg yolks cereal,0.14,6.8,14.0,1.98,0.01,0.51,0.13,0.85,11.06,0.54,0.173,9.36,11.34,0.006,25.17,0.08,,,,4.0,38.0,131.0,Standard Reference Foods,Baked_Products,3,Packaged
ice creams chocolate low carbohydrate regular,0.58,63.22,137.0,15.54,0.08,7.366,0.54,16.82,144.42,2.2,3.944,44.08,68.44,0.032,32.31,0.34,,0.081,0.12,3.0,35.0,,Branded Foods,,3,Packaged
crackers low salt regular standard snacktype,0.4,17.04,71.0,8.66,0.03,3.593,0.51,3.83,50.41,1.05,0.536,30.67,0.0,0.008,0.5,0.1,,0.079,0.0,,,,Branded Foods,Crusts_AND_Dough,3,Packaged
babyfood strained corn and sweet potatoes,0.17,5.1,19.0,4.32,0.01,0.079,0.09,2.83,43.66,0.36,0.015,3.97,35.72,0.017,23.42,0.05,,0.0,0.0,2.0,47.0,103.0,Standard Reference Foods,Baked_Products,1,Whole Nutrient
75oz doritos nacho by frito lay,,19.93,90.0,16.0,,3.0,0.36,,69.96,2.0,0.5,170.02,,0.08,,0.3,0.0,,,,,,,,5,Unhealthy & Over-indulgent
kohlrabi with salt drained boiled cooked,1.67,102.0,25.0,3.55,0.14,0.81,3.64,57.0,491.0,2.09,0.197,324.0,219.0,0.088,91.88,0.22,0.0,0.385,0.0,5.0,74.0,47.0,Foundation Foods,Tomatoes,2,Frozen & Preserved
borage with salt drained boiled cooked,1.67,102.0,25.0,3.55,0.14,0.81,3.64,57.0,491.0,2.09,0.197,324.0,219.0,0.088,91.88,0.22,0.0,0.385,0.0,1.0,75.0,,Foundation Foods,Tomatoes,2,Frozen & Preserved
pancakes prepared incomplete dry mix wholewheat,0.79,70.88,59.0,8.33,0.02,1.843,0.88,13.04,79.1,2.41,0.496,162.16,18.14,0.031,14.97,0.29,,0.438,,,,,Branded Foods,,5,Unhealthy & Over-indulgent
doughnuts sugared or glazed chocolate caketype,0.51,60.39,118.0,16.27,0.05,5.642,0.64,9.64,30.05,1.28,1.455,60.95,3.4,0.008,4.62,0.16,,0.105,0.0,,,,Branded Foods,Honey,3,Packaged
babyfood strained applesauce and pineapple fruit,0.06,1.13,10.0,2.86,0.01,0.028,0.03,0.85,22.11,0.03,0.003,0.57,0.0,0.011,25.37,0.01,,,,1.0,32.0,,Standard Reference Foods,Baked_Products,1,Whole Nutrient
candies soft fruit and nut squares,0.17,7.14,164.0,31.0,0.13,3.998,0.39,10.5,34.44,0.97,0.377,55.02,0.0,0.034,5.83,0.22,,0.226,0.0,14.0,10.0,,Branded Foods,Powdered_Drinks,3,Packaged
turnip greens solids and liquids canned,1.44,138.06,16.0,2.83,0.1,0.351,1.77,23.4,164.97,1.59,0.082,324.09,209.43,0.043,110.79,0.27,0.0,0.324,0.0,1.0,81.0,127.0,Branded Foods,,2,Frozen & Preserved
candies not chocolate covered coconut bar,0.52,20.21,226.0,26.26,0.17,12.995,0.36,12.69,138.18,1.0,12.004,60.16,0.0,0.021,6.23,0.48,,0.582,0.0,,,,Branded Foods,Powdered_Drinks,1,Whole Nutrient
beverages diet lemon decaffeinated instant tea,0.12,0.34,5.4,1.37,0.0,0.01,0.14,2.0,41.09,0.05,0.0,6.59,0.0,0.002,0.06,0.01,0.0,0.486,0.0,,,,Foundation Foods,Tomatoes,0,Confectionaries
babyfood junior apple and blueberry fruit,0.05,1.42,18.0,4.71,0.02,0.057,0.11,0.85,18.43,0.06,0.007,0.28,0.57,0.012,23.47,0.01,,,0.0,6.0,33.0,,Standard Reference Foods,Baked_Products,1,Whole Nutrient
pancakes incomplete dry mix whole wheat,1.35,60.04,133.0,28.16,0.11,0.502,2.7,31.92,139.84,4.0,0.0,620.16,0.0,0.043,3.99,0.62,0.0,,0.0,68.0,51.0,66.0,Branded Foods,,2,Frozen & Preserved
beverages no pulp light orange juice,0.46,0.0,50.0,13.01,0.04,0.0,0.0,24.0,451.2,0.5,0.0,9.6,24.0,0.12,226.06,0.05,0.0,,0.0,,,,Foundation Foods,Tomatoes,1,Whole Nutrient
kohlrabi with salt drained boiled cooked,1.82,41.25,48.0,11.04,0.22,0.181,0.66,31.35,561.0,2.97,0.023,424.05,3.3,0.254,149.0,0.51,0.0,0.234,0.0,5.0,74.0,47.0,Branded Foods,,2,Frozen & Preserved
kohlrabi without salt drained boiled cooked,1.82,41.25,48.0,11.04,0.22,0.181,0.66,31.35,561.0,2.97,0.023,424.05,3.3,0.254,149.0,0.51,0.0,0.234,0.0,5.0,74.0,47.0,Branded Foods,,2,Frozen & Preserved
borage with salt drained boiled cooked,1.82,41.25,48.0,11.04,0.22,0.181,0.66,31.35,561.0,2.97,0.023,424.05,3.3,0.254,149.0,0.51,0.0,0.234,0.0,1.0,75.0,,Branded Foods,,2,Frozen & Preserved
chicken breast tenders microwaved cooked breaded,1.59,11.9,214.0,14.93,0.27,10.957,0.85,22.1,191.25,13.9,2.72,379.1,0.0,0.031,43.64,0.65,,0.2,,,,,Branded Foods,Canned_Tuna,5,Unhealthy & Over-indulgent
kale without salt drained boiled cooked,1.82,41.25,48.0,11.04,0.22,0.181,0.66,31.35,561.0,2.97,0.023,34.65,3.3,0.254,149.0,0.51,0.0,0.234,0.0,3.0,88.0,91.0,Branded Foods,,3,Packaged
kohlrabi with salt drained boiled cooked,1.82,41.25,48.0,11.04,0.22,0.181,0.66,31.35,561.0,2.97,0.023,34.65,3.3,0.254,149.0,0.51,0.0,0.234,0.0,5.0,74.0,47.0,Branded Foods,,3,Packaged
kohlrabi without salt drained boiled cooked,1.82,41.25,48.0,11.04,0.22,0.181,0.66,31.35,561.0,2.97,0.023,34.65,3.3,0.254,149.0,0.51,0.0,0.234,0.0,5.0,74.0,47.0,Branded Foods,,3,Packaged
turkey roasted cooked dark meat whole,0.95,14.45,147.0,0.0,0.11,5.134,1.22,22.95,192.95,23.55,1.536,88.4,4.25,0.372,55.45,2.98,0.068,0.014,0.26,,,,Branded Foods,,4,Keto & Strength
cookies baked refrigerated dough chocolate chip,0.34,7.94,139.0,19.33,0.06,6.407,0.71,7.65,56.7,1.39,2.2,65.77,5.1,0.001,0.85,0.16,,0.134,,5.0,12.0,89.0,Branded Foods,Crusts_AND_Dough,3,Packaged
cookies baked refrigerated dough peanut butter,0.6,31.47,143.0,16.24,0.05,7.796,0.53,11.62,95.82,2.58,1.757,123.61,3.97,0.018,1.13,0.21,,0.131,,4.0,15.0,80.0,Branded Foods,Crusts_AND_Dough,0,Confectionaries
tomato products with onions sauce canned,5.41,41.65,103.0,24.35,0.44,0.465,2.28,46.55,1011.85,3.82,0.073,1349.95,105.35,0.654,210.92,0.56,0.0,0.737,0.0,9.0,77.0,57.0,Branded Foods,,2,Frozen & Preserved
babyfood toddler beef with vegetables meat,0.82,19.69,124.0,15.61,0.14,3.759,0.9,19.69,300.72,6.26,1.516,46.54,102.03,0.125,152.56,1.56,,,0.0,8.0,50.0,,Standard Reference Foods,Baked_Products,3,Packaged
alcoholic beverage 63 proof coffee liqueur,0.03,0.35,107.0,11.21,0.01,0.104,0.02,1.04,10.44,0.03,0.037,2.78,0.0,0.0,14.41,0.01,0.0,0.006,,5.0,0.0,,,,1,Whole Nutrient
kale without salt drained boiled cooked,0.86,177.0,42.0,6.25,0.08,1.428,0.99,29.5,169.92,3.47,0.206,18.88,172.28,0.074,105.99,0.32,0.0,0.64,0.0,3.0,88.0,91.0,Branded Foods,,3,Packaged
kohlrabi without salt drained boiled cooked,0.86,177.0,42.0,6.25,0.08,1.428,0.99,29.5,169.92,3.47,0.206,18.88,172.28,0.074,105.99,0.32,0.0,0.64,0.0,5.0,74.0,47.0,Branded Foods,,3,Packaged
dock without salt drained boiled cooked,0.86,177.0,42.0,6.25,0.08,1.428,0.99,29.5,169.92,3.47,0.206,18.88,172.28,0.074,105.99,0.32,0.0,0.64,0.0,0.0,84.0,,Branded Foods,,3,Packaged
babyfood banana with orange medley gerber,0.7,0.0,78.0,23.06,0.11,0.0,0.26,20.34,299.45,1.2,0.0,11.3,31.64,0.262,88.04,0.14,,0.176,0.0,,,,Standard Reference Foods,Baked_Products,1,Whole Nutrient
bread salvadoran sweet cheese quesadilla salvadorena,1.34,40.15,206.0,26.31,0.02,9.416,0.54,6.05,192.5,3.92,2.537,280.5,77.55,0.022,14.01,0.44,1.115,0.132,0.17,,,,Foundation Foods,Tomatoes,0,Confectionaries
applebees from kids menu chicken tenders,0.98,8.05,104.0,6.43,0.02,5.652,0.32,10.5,117.95,6.74,0.998,267.05,3.5,0.169,15.2,0.25,0.041,0.091,,,,,,,5,Unhealthy & Over-indulgent
yogurt chobani lemon blend nonfat greek,0.68,96.0,78.0,10.66,,0.15,0.03,,,8.62,0.09,44.0,0.0,,79.9,,0.007,,,,,,Branded Foods,,3,Packaged
frozen yogurts flavors other than chocolate,1.04,174.0,221.0,37.58,0.02,6.264,0.8,17.4,271.44,5.22,4.047,109.62,85.26,0.07,123.89,0.49,,,0.17,19.0,25.0,,Branded Foods,,3,Packaged
beans solids and liquids canned shellie,2.87,71.05,74.0,15.17,0.2,0.465,2.43,36.75,267.05,4.31,0.056,818.3,26.95,0.12,222.19,0.66,0.0,0.936,0.0,6.0,85.0,,Standard Reference Foods,Baked_Products,2,Frozen & Preserved
salad dressing regular commercial peppercorn dressing,0.27,2.95,76.0,0.47,0.0,8.228,0.05,0.27,23.58,0.16,1.411,147.8,1.34,0.009,4.27,0.02,,,0.01,0.0,6.0,,Branded Foods,,5,Unhealthy & Over-indulgent
squash canned italian style zucchini summer,3.18,38.59,66.0,15.55,0.22,0.25,1.54,31.78,621.98,2.34,0.052,848.98,61.29,0.345,205.68,0.59,0.0,0.545,0.0,6.0,69.0,90.0,Branded Foods,,2,Frozen & Preserved
babyfood strained vegetables and turkey dinner,0.9,69.12,123.0,19.51,0.23,2.304,0.95,33.28,261.12,5.94,0.604,51.2,563.2,0.113,227.38,1.79,,0.358,0.0,3.0,47.0,,Standard Reference Foods,Baked_Products,3,Packaged
mung beans raw sprouted mature seeds,0.46,13.52,31.0,6.18,0.17,0.187,0.95,21.84,154.96,3.16,0.048,6.24,1.04,0.092,94.02,0.43,0.0,0.196,0.0,3.0,78.0,67.0,Branded Foods,,1,Whole Nutrient
turkey panbroiled crumbles fat free ground,1.21,5.1,128.0,0.0,0.06,2.304,0.87,29.75,303.45,26.94,0.609,51.85,7.65,0.918,55.9,1.87,0.02,0.005,0.17,,,,Branded Foods,,4,Keto & Strength
restaurant spaghetti and meatballs family style,2.0,60.3,228.0,20.78,0.14,11.417,1.73,30.82,276.04,10.51,4.159,470.34,37.52,0.192,89.3,1.39,0.291,0.371,,,,,Branded Foods,,5,Unhealthy & Over-indulgent
cheese reduced fat dry grated parmesan,8.03,1109.0,265.0,1.37,0.24,20.0,0.9,38.0,125.0,20.0,13.317,1529.0,160.0,0.049,50.6,3.87,,0.085,0.4,1.0,41.0,,Branded Foods,Other_Condiments,2,Frozen & Preserved
beverages sweetened lemon readytodrink black tea,0.08,10.84,122.0,29.27,0.02,0.596,0.0,2.71,37.94,0.0,0.0,8.13,0.0,0.0,241.05,0.03,,0.306,0.0,,,,Foundation Foods,Tomatoes,1,Whole Nutrient
pie prepared from recipe vanilla cream,0.34,25.52,79.0,9.24,0.01,4.082,0.29,3.69,35.72,1.36,1.143,73.71,23.53,0.014,13.32,0.15,,0.036,0.34,22.0,21.0,109.0,Branded Foods,,0,Confectionaries
wonton wrappers includes egg roll wrappers,0.54,13.32,83.0,16.41,0.04,0.425,0.95,5.67,23.25,2.78,0.075,162.16,1.13,0.009,8.16,0.2,,0.181,,11.0,33.0,41.0,Branded Foods,,5,Unhealthy & Over-indulgent
sausage hot beef with chicken polish,2.31,6.6,142.0,1.98,0.05,10.67,0.48,7.7,130.35,9.68,4.405,847.0,0.0,0.104,30.36,1.06,,0.027,,2.0,28.0,111.0,Branded Foods,,2,Frozen & Preserved
alcoholic beverage burgundy red table wine,0.1,,25.0,1.09,,0.0,,,,0.02,,,,,25.26,,0.0,,,0.0,0.0,,,,2,Frozen & Preserved
tomato juice without salt added canned,2.65,24.3,41.0,8.58,0.1,0.705,0.95,26.73,527.31,2.07,0.046,24.3,55.89,0.17,229.0,0.27,0.0,0.165,0.0,3.0,81.0,42.0,Branded Foods,,3,Packaged
alcoholic beverage mouvedre red table wine,0.09,,26.0,0.78,,0.0,,,,0.02,,,,,25.23,,0.0,,,0.0,0.0,,,,2,Frozen & Preserved
alcoholic beverage chardonnay white table wine,0.06,2.64,25.0,0.63,0.0,0.0,0.08,2.93,20.8,0.02,,1.47,,0.015,25.45,0.04,0.0,0.034,,,,,,,1,Whole Nutrient
cheese nonfat or fat free cheddar,1.02,250.04,44.0,2.0,0.01,0.0,0.0,4.48,18.48,9.0,0.0,280.0,16.8,0.013,15.96,0.51,0.0,,0.03,,,,Branded Foods,Other_Condiments,2,Frozen & Preserved
tomato products spanish style sauce canned,4.83,41.48,81.0,17.67,0.39,0.659,8.49,46.36,900.36,3.51,0.093,1151.68,119.56,0.432,217.36,0.83,0.0,0.527,0.0,7.0,79.0,44.0,Branded Foods,,2,Frozen & Preserved
salad dressing reduced fat ranch dressing,0.44,6.0,29.0,3.2,0.02,1.863,0.1,0.9,19.8,0.19,0.188,168.0,2.7,0.004,9.31,0.09,0.009,0.008,0.0,1.0,20.0,,Branded Foods,,2,Frozen & Preserved
beverages sugar free rockstar energy drink,1.49,31.2,9.6,1.68,0.01,0.192,0.05,7.2,7.2,0.6,0.0,124.8,0.0,1.999,236.04,0.0,0.0,,0.0,,,,Foundation Foods,Tomatoes,2,Frozen & Preserved
cookies special dietary commercially prepared oatmeal,0.2,15.31,127.0,19.82,0.04,5.103,1.15,4.82,49.61,1.36,0.763,77.4,0.28,0.007,1.84,0.14,,0.181,0.0,3.0,19.0,76.0,Branded Foods,Crusts_AND_Dough,3,Packaged
babyfood dry with honey oatmeal cereal,0.11,27.7,9.4,1.66,0.01,0.168,1.61,3.5,6.22,0.32,,1.13,0.02,0.004,0.14,0.09,,,,1.0,47.0,,Standard Reference Foods,Baked_Products,1,Whole Nutrient
pancakes prepared complete dry mix plain,0.74,35.72,55.0,10.4,0.03,0.709,0.44,5.67,49.61,1.47,0.144,178.04,2.83,0.026,15.03,0.11,,0.077,,8.0,35.0,79.0,Branded Foods,,5,Unhealthy & Over-indulgent
puddings instant dry mix coconut cream,3.37,7.92,411.0,82.67,0.15,9.9,0.71,16.83,95.04,0.89,9.9,1029.6,0.0,0.041,2.18,0.3,,0.484,0.0,62.0,12.0,,Branded Foods,,5,Unhealthy & Over-indulgent
candies milk chocolate coated coffee beans,0.5,47.91,156.0,15.66,0.14,9.407,0.65,18.14,117.09,2.1,5.142,19.84,14.46,0.009,0.69,0.57,0.0,0.152,0.0,8.0,20.0,,Branded Foods,Powdered_Drinks,1,Whole Nutrient
